"","Site","Site_Code","Date","Lat","Long","Watershed","Watershed_Level","Status","Location","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4"
"55","Barnes Meadow Reservoir","BRNR",2021-07-07,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",19,0.7,1.23,7.16,0.4,7.2,427.88,79.26,2.41,0.04,1.27,1.72,10,0.06,1.75,0.15,0,10.86
"56","Chambers Reservoir","CBRR",2021-07-07,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",17,2.3,2.13,3.14,0.23,7.33,297.13,42.25,1.39,0.04,0.72,1.05,5.54,0.07,0.48,0.11,0,3.2
"57","Chambers Outflow","CHD",2021-07-07,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",10,NA,1.22,2.7,0.17,6.98,383.65,52.49,1.9,0.04,0.98,1.27,7.41,0.04,0.61,0.17,0,3.76
"58","Hourglass Outflow","HORO",2021-07-09,40.5828742,-105.6309523,"Hourglass Reservoir",0.101627305894318,"Burned","Outflow",14,NA,1.7,2.58,0.21,6.74,116.01,18.61,1.12,0.04,0.32,0.44,2.31,0.02,0.29,0.11,0,1.38
"59","Hourglass Reservoir","HORR",2021-07-09,40.582032,-105.6314023,"Hourglass Reservoir",0.101627305894318,"Burned","Reservoir",14,NA,1.36,2.55,0.21,6.71,110.49,17.49,1.1,0.03,0.31,0.44,2.08,0.02,0.16,0.18,0,1.36
"60","Comanche Inflow","COMI",2021-07-09,40.5858963,-105.6626,"Comanche Reservoir",0.173174601127291,"Burned","Inflow",9,NA,0.43,2.75,0.22,6.74,123.96,18.97,1.36,0.02,0.24,0.46,2.36,0.02,0.21,0.27,0,1.33
"61","Comanche Reservoir","COMR",2021-07-09,40.5853086,-105.6455009,"Comanche Reservoir",0.249668324769565,"Burned","Reservoir",13,NA,0.29,2.91,0.27,6.75,171.14,24.5,1.54,0.1,0.35,0.59,2.86,0.02,0.24,0.35,0,1.94
"62","Hourglass Inflow","HORI",2021-07-09,40.5805091,-105.6409321,"Hourglass Reservoir",0.050851142811688,"Burned","Inflow",8,NA,0.7,1.89,0.21,6.66,108.86,16.55,1.08,0.01,0.26,0.39,1.79,0.02,0.13,0.26,0,1.19
"63","Comanche Outflow","COMO",2021-07-09,40.5846048,-105.6440011,"Comanche Reservoir",0.249668324769565,"Burned","Outflow",12,NA,2.33,2.85,0.28,6.77,154.21,23.99,1.47,0.04,0.32,0.57,2.71,0.02,0.2,0.36,0,1.77
"64","Peterson Outlet","PTRO",2021-07-14,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",3,0.54,0.52,7.23,0.54,6.99,202.02,45.57,1.77,0.14,1.39,0.87,5.97,0.03,0.77,0.17,0,6.66
"65","Peterson Reservoir","PTRR",2021-07-14,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",NA,0,0.54,7.28,0.49,6.87,184.52,42.55,1.67,0.15,1.22,0.82,5.02,0.06,0.78,0.14,0,6.56
"66","Barnes Meadow Outflow","BMD",2021-07-14,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",15,7.39,1.39,7.19,0.62,6.81,409.34,78.97,2.43,0.29,1.2,1.48,9.62,0.03,1.67,0.23,0,10.76
"67","Barnes Meadow Reservoir","BRNR",2021-07-14,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",4.5,NA,2.19,7.1,0.31,7.19,467.15,80.81,2.47,0.03,1.23,1.55,9.83,0.03,1.69,0.18,0,11.8
"68","Chambers Reservoir","CBRR",2021-07-14,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",4,NA,1.69,2.89,0.19,7.21,316.75,44.45,1.44,0.03,0.68,0.97,5.48,0.06,0.44,0.14,0,3.14
"69","Chambers Outflow","CHD",2021-07-14,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",2.5,0.73,1.29,2.57,0.19,7.05,421.53,52.25,1.83,0.02,0.94,1.17,7.15,0.06,0.49,0.17,0,3.41
"70","Peterson Outlet","PTRO",2021-07-28,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",5,0,0.17,9.11,0.53,7.02,208.61,44.99,1.68,0.06,1.29,0.82,5.85,0.01,0.74,0.02,0,6.55
"71","Peterson Reservoir","PTRR",2021-07-28,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",6,0,0.44,9.62,0.46,6.92,183.99,40.5,1.63,0.08,1.08,0.73,4.73,0.03,0.72,0.01,0,6.33
"72","Barnes Meadow Outflow","BMD",2021-07-28,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",11,2.4,3.37,12.94,0.49,6.92,419.6,73.97,2.31,0.18,1.18,1.37,9.4,0.03,1.48,0.18,0,10.2
"73","Barnes Meadow Reservoir","BRNR",2021-07-28,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",3.75,2.8,2.98,12.21,0.33,7.1,446.51,75.4,2.41,0.03,1.19,1.54,9.3,0.03,1.69,0.15,0,10.85
"74","Chambers Reservoir","CBRR",2021-07-28,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3.5,0,1.74,6.25,0.15,7.28,328.11,41.75,1.37,0.03,0.64,0.95,5.38,0.05,0.45,0.09,0,3.09
"75","Chambers Outflow","CHD",2021-07-28,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",3.5,3,2.02,6.55,0.16,7.03,433.83,51.21,1.81,0.02,0.93,1.09,7.02,0.04,0.48,0.16,0,3.31
"76","Peterson Outlet","PTRO",2021-08-04,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",4.5,NA,0.13,10.28,0.56,6.73,182,44.32,1.48,0.13,1.27,0.63,5.9,0.04,0.87,0.42,0,7.4
"77","Peterson Reservoir","PTRR",2021-08-04,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",2.25,NA,0.22,9.76,0.5,6.79,186.58,35.13,1.56,0.12,1.27,0.62,4.05,0.05,0.77,0.17,0,6.89
"78","Barnes Meadow Outflow","BMD",2021-08-04,40.60065,-105.836717,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Outflow",11,2.51,3.75,13.22,0.59,6.96,432.13,68.75,2.32,0.25,1.2,1.1,7.19,0.05,1.72,0.3,0,10.41
"79","Barnes Meadow Reservoir","BRNR",2021-08-04,40.599908,-105.830604,"Barnes Meadow Reservoir",0.449076848592701,"Burned","Reservoir",5,NA,3.09,12.68,0.45,7.23,427.66,69.75,2.43,0.03,1.25,1.43,9.49,0.05,1.7,0.02,0,12.06
"80","Chambers Reservoir","CBRR",2021-08-04,40.60438415,-105.8432698,"Chambers Reservoir",0.191350672099311,"Burned","Reservoir",3.75,NA,2.53,7.56,0.32,7.17,295.52,34.22,1.34,0.01,0.75,0.72,4.07,0.07,0.43,0.01,0,3.31
"81","Chambers Outflow","CHD",2021-08-04,40.60233229,-105.8427286,"Chambers Reservoir",0.191350672099311,"Burned","Outflow",4.75,5.1,1.72,7.35,0.22,6.99,392.59,47.02,1.58,0.04,0.91,1.05,6.23,0.07,0.54,0.03,0,3.17
"82","Peterson Outlet","PTRO",2021-08-11,40.56063874,-105.7929021,"Peterson Reservoir",0.305506263817244,"Burned","Outflow",4,2.6,0.61,9.62,0.59,6.84,187.25,41.24,1.62,0.11,1.35,0.59,5.37,0.04,0.79,0.28,0,6.69
"83","Peterson Reservoir","PTRR",2021-08-11,40.55936515,-105.7940034,"Peterson Reservoir",0.305506263817244,"Burned","Reservoir",2,5.83,0.47,9.54,0.62,6.82,202.01,41.5,1.64,0.11,1.35,0.65,5.32,0.06,0.78,0.29,0,6.64
