Date,Ta_C,SM_5,SM_20,SM_50
2019-07-08,14.494051895833334,NA,0.151557721875,0.019032921875
2019-07-09,14.8025833125,NA,0.14363914166666666,0.018433348020833334
2019-07-10,15.1679895625,NA,0.14308675833333334,0.01599688375
2019-07-11,18.367312427083334,NA,0.14271143958333332,0.0127545571875
2019-07-12,15.632854125,NA,0.14555162291666668,0.01037385615625
2019-07-13,16.098208239583332,NA,0.14208740520833332,0.01196306375
2019-07-14,17.301010416666667,NA,0.14262312708333333,0.0115136025
2019-07-15,15.344843739583334,NA,0.14091767291666665,0.010751398979166667
2019-07-16,17.0299165625,NA,0.13430624270833333,0.010270318177083333
2019-07-17,18.699333333333332,NA,0.13904756875,0.007260006010416667
2019-07-18,19.134270770833332,NA,0.13654075104166666,0.005669374541666667
2019-07-19,20.66196875,NA,0.13816035104166666,0.003104104875
2019-07-20,16.33282290625,NA,0.14093591041666667,0.00108622678125
2019-07-21,15.497968645833334,NA,0.13962354583333333,0.00313417834375
2019-07-22,13.998833239583334,NA,0.14281847291666666,0.004087172375
2019-07-23,14.63734359375,NA,0.1486233625,0.004834799489583333
2019-07-24,16.08166653125,NA,0.179764840625,0.005582376875
2019-07-25,16.410416666666666,NA,0.17815584166666668,0.003702901791666667
2019-07-26,15.536749885416667,NA,0.17218871770833333,0.0031681991875
2019-07-27,15.226145833333334,NA,0.16707030833333333,0.0035866418645833335
2019-07-28,17.349072916666668,NA,0.16101176145833335,0.0026069191354166667
2019-07-29,16.781604052083335,NA,0.15668891145833333,0.0014966992291666668
2019-07-30,17.30495833333333,NA,0.15608520208333335,NA
2019-07-31,16.956291666666665,NA,0.153271946875,2.0961853125e-4
2019-08-01,15.66596875,NA,0.148677034375,7.3378284375e-4
2019-08-02,14.996177083333333,NA,0.14500682291666667,4.413035208333333e-4
2019-08-03,17.27552071875,NA,0.13920281666666667,4.5198122916666666e-4
2019-08-04,16.290020833333333,NA,0.14441301770833334,NA
2019-08-05,15.6155,NA,0.13767871979166665,6.319509791666666e-4
2019-08-06,17.431187458333333,NA,0.13344158125,NA
2019-08-07,17.30178125,NA,0.13532807916666667,NA
2019-08-08,14.54665625,NA,0.13493620833333334,NA
2019-08-09,17.91685415625,NA,0.12941526354166666,NA
2019-08-10,14.546479166666666,NA,0.1321204375,NA
2019-08-11,12.547270833333334,NA,0.12507635208333334,1.1240258333333334e-4
2019-08-12,15.410093635416667,NA,0.11972243125,0.002209355520833333
2019-08-13,16.456697822916666,NA,0.12073136041666667,0.00538886596875
2019-08-14,16.106343645833334,NA,0.122058878125,0.005259628333333334
2019-08-15,17.124833197916665,NA,0.11872688333333334,0.0015133716041666667
2019-08-16,16.36651025,NA,0.11450273125,NA
2019-08-17,14.6661039375,NA,0.111187434375,NA
2019-08-18,16.882447875,NA,0.11027379895833334,NA
2019-08-19,18.377312375,NA,0.111329771875,NA
2019-08-20,18.940197916666666,NA,0.10866286145833333,NA
2019-08-21,14.917531177083333,NA,0.10655284375,NA
2019-08-22,16.252885375,NA,0.10551301041666666,NA
2019-08-23,16.401895791666668,NA,0.10449793125,NA
2019-08-24,14.475239520833334,NA,0.10180293875,NA
2019-08-25,20.30928125,NA,0.10158115,NA
2019-08-26,16.480562489583335,NA,0.10187168364583334,NA
2019-08-27,11.839343708333333,NA,0.09917879927083333,NA
2019-08-28,15.757031239583334,NA,0.09733887645833333,NA
2019-08-29,16.838874968749998,NA,0.09734015802083333,NA
2019-08-30,17.278822895833333,NA,0.09827288458333333,NA
2019-08-31,16.93792703125,NA,0.0960871325,NA
2019-09-01,18.543874979166667,NA,0.09627872927083334,NA
2019-09-02,19.653822916666666,NA,0.09692372895833333,NA
2019-09-03,18.053229166666668,NA,0.09709448291666667,NA
2019-09-04,18.17454165625,NA,0.09688976864583333,NA
2019-09-05,18.71421875,NA,0.09653774770833333,NA
2019-09-06,14.63573953125,NA,0.09657169322916667,NA
2019-09-07,14.043739395833333,NA,0.09605804729166667,NA
2019-09-08,11.213885322916667,NA,0.0950651940625,NA
2019-09-09,12.23183328125,NA,0.09518636072916667,NA
2019-09-10,13.61049990625,NA,0.09693956947916667,NA
2019-09-11,12.268708125,NA,0.09772900302083333,NA
2019-09-12,10.209718677083334,NA,0.093999384375,NA
2019-09-13,11.147593708333334,NA,0.09197520864583333,NA
2019-09-14,14.255499864583333,NA,0.09361457333333334,NA
2019-09-15,15.2383958125,NA,0.09412082052083333,NA
2019-09-16,15.73871871875,NA,0.09522227583333333,NA
2019-09-17,15.34431240625,NA,0.09487551489583333,NA
2019-09-18,12.303291520833334,NA,0.09418161395833333,NA
2019-09-19,14.19183328125,NA,0.09348962822916666,NA
2019-09-20,14.69686440625,NA,0.09386704875,NA
2019-09-21,11.455187416666666,NA,0.0927638575,NA
2019-09-22,8.885135364583332,NA,0.0905049225,NA
2019-09-23,11.985624979166667,NA,0.08959840937500001,NA
2019-09-24,13.649458322916667,NA,0.08964922979166666,NA
2019-09-25,13.798427010416667,NA,0.09034753708333333,NA
2019-09-26,16.0904375,NA,0.0902555496875,NA
2019-09-27,12.05148946875,NA,0.08996433979166667,NA
2019-09-28,8.976885364583334,NA,0.08970026364583333,NA
2019-09-29,13.020249927083333,NA,0.08819436333333333,NA
2019-09-30,10.085499958333333,NA,0.087482864375,NA
2019-10-01,7.623166604166666,NA,0.08785658958333334,NA
2019-10-02,6.960812468854167,NA,0.08649664083333333,NA
2019-10-03,5.594885416666667,NA,0.084336661875,NA
2019-10-04,12.02443746875,NA,0.08537390333333333,NA
2019-10-05,7.035166635416667,NA,0.08529558583333334,NA
2019-10-06,5.580281208333333,NA,0.08460080375,NA
2019-10-07,8.994885405520833,NA,0.0824296728125,NA
2019-10-08,11.938020739583333,NA,0.08385775947916667,NA
2019-10-09,10.346437384375,NA,0.08395426739583334,NA
2019-10-10,-7.010499760416667,NA,0.07996948802083333,NA
2019-10-11,-1.5587394895833333,NA,0.07530849770833334,NA
2019-10-12,6.156645802083333,NA,0.0740320478125,NA
2019-10-13,5.946010372916667,NA,0.07525008989583333,NA
2019-10-14,8.96621871875,NA,0.079617915,NA
2019-10-15,7.512708322916667,NA,0.08092346583333333,NA
2019-10-16,10.286687322916666,NA,0.08183299645833333,NA
2019-10-17,11.5765103125,NA,0.08247498083333334,NA
2019-10-18,6.706864375,NA,0.08274438375,NA
2019-10-19,4.57261453125,NA,0.0817255990625,NA
2019-10-20,-2.3968645833333335,NA,0.080794875625,NA
2019-10-21,-0.8174791665625,NA,0.07742279947916667,9.421289375e-4
2019-10-22,3.4110416666666667,NA,0.07752469885416667,3.6888759375e-4
2019-10-23,-0.42634374999999997,NA,0.07796660989583333,4.8122711458333336e-4
2019-10-24,-3.960208323958333,NA,0.07732434447916667,0.005141134177083334
2019-10-25,4.426770791666667,NA,0.0774917496875,0.0012877144270833332
2019-10-26,6.403260384375,NA,0.0785707403125,0.0342001118125
2019-10-27,-9.685770625,NA,0.07759155604166666,0.0017469205416666667
2019-10-28,-8.850958291666666,NA,0.07693750479166667,0.00240524896875
2019-10-29,-15.189447895833334,NA,0.07741646739583333,0.0030500941041666668
2019-10-30,-13.381312416666667,NA,0.0775796646875,0.0046027276875
2019-10-31,0.14454167604166668,NA,0.07797236614583333,0.0036442747604166666
2019-11-01,-2.413999979166667,NA,0.078416284375,0.0035698037395833332
2019-11-02,2.9992603446875,NA,0.07854320510416667,0.00231058609375
2019-11-03,5.063979072916666,NA,0.07851772927083334,0.0026285854791666665
2019-11-04,3.561510414583333,NA,0.0786722209375,0.0033438842916666666
2019-11-05,5.178072791666667,NA,0.07920705739583334,0.0046443914375
2019-11-06,1.2788437104166668,NA,0.08026199864583333,0.00452125453125
2019-11-07,1.1964165729166667,NA,0.0800763665625,0.008251462125
2019-11-08,6.450687458333333,NA,0.08068184166666667,0.00955501096875
2019-11-09,7.330843739583333,NA,0.08264527072916666,0.0036571761770833335
2019-11-10,4.976937455208334,NA,0.10570522291666666,0.00448319871875
2019-11-11,-4.9741458114583335,NA,0.134499303125,0.0035021697604166666
