Reading,Receive,Value,Unit,Data Quality
2021-10-11 09:47:54,2021-10-11 09:48:05,2.99,ft,A
2021-10-11 09:32:55,2021-10-11 09:33:05,2.99,ft,A
2021-10-11 09:17:52,2021-10-11 09:18:05,2.99,ft,A
2021-10-11 09:02:52,2021-10-11 09:03:05,2.99,ft,A
2021-10-11 08:47:53,2021-10-11 08:48:20,2.99,ft,A
2021-10-11 08:32:55,2021-10-11 08:33:20,2.99,ft,A
2021-10-11 08:17:53,2021-10-11 08:18:20,2.99,ft,A
2021-10-11 08:02:53,2021-10-11 08:03:20,2.99,ft,A
2021-10-11 07:47:54,2021-10-11 07:48:05,2.99,ft,A
2021-10-11 07:32:52,2021-10-11 07:33:05,2.99,ft,A
2021-10-11 07:17:53,2021-10-11 07:18:20,3.03,ft,A
2021-10-11 07:02:54,2021-10-11 07:03:05,3.03,ft,A
2021-10-11 06:47:55,2021-10-11 06:48:05,3.03,ft,A
2021-10-11 06:32:52,2021-10-11 06:33:05,3.03,ft,A
2021-10-11 06:17:55,2021-10-11 06:18:05,3.03,ft,A
2021-10-11 06:02:53,2021-10-11 06:03:20,3.03,ft,A
2021-10-11 05:47:52,2021-10-11 05:48:05,3.03,ft,A
2021-10-11 05:32:53,2021-10-11 05:33:20,3.03,ft,A
2021-10-11 05:32:52,2021-10-11 05:33:05,3.03,ft,A
2021-10-11 05:17:53,2021-10-11 05:18:20,3.03,ft,A
2021-10-11 05:17:52,2021-10-11 05:18:05,3.03,ft,A
2021-10-11 05:02:52,2021-10-11 05:03:05,3.03,ft,A
2021-10-11 04:47:55,2021-10-11 04:48:20,2.99,ft,A
2021-10-11 04:32:52,2021-10-11 04:33:05,2.99,ft,A
2021-10-11 04:17:52,2021-10-11 04:18:05,2.99,ft,A
2021-10-11 04:02:55,2021-10-11 04:03:05,2.99,ft,A
2021-10-11 03:47:52,2021-10-11 03:48:05,2.99,ft,A
2021-10-11 03:32:52,2021-10-11 03:33:05,2.99,ft,A
2021-10-11 03:17:52,2021-10-11 03:18:05,3.03,ft,A
2021-10-11 03:02:52,2021-10-11 03:03:05,2.99,ft,A
2021-10-11 02:47:57,2021-10-11 02:48:20,2.99,ft,A
2021-10-11 02:32:52,2021-10-11 02:33:05,2.99,ft,A
2021-10-11 02:17:53,2021-10-11 02:18:20,2.99,ft,A
2021-10-11 02:02:52,2021-10-11 02:03:05,2.99,ft,A
