Date,P_in
3/7/2012,0
3/8/2012,0
3/9/2012,0
3/10/2012,0
3/11/2012,0
3/12/2012,0
3/13/2012,0
3/14/2012,0
3/15/2012,0
3/16/2012,0
3/17/2012,0
3/18/2012,0.4
3/19/2012,0.05
3/20/2012,0
3/21/2012,0
3/22/2012,0
3/23/2012,0
3/24/2012,0
3/25/2012,0
3/26/2012,0
3/27/2012,0
3/28/2012,0
3/29/2012,0
3/30/2012,0
3/31/2012,0
4/1/2012,0
4/2/2012,0.32
4/3/2012,0.49
4/4/2012,0
4/5/2012,0
4/6/2012,0
4/7/2012,0
4/8/2012,0
4/9/2012,0
4/10/2012,0
4/11/2012,0.23
4/12/2012,0
4/13/2012,0.12
4/14/2012,0.46
4/15/2012,0.46
4/16/2012,0.15
4/17/2012,0
4/18/2012,0.09
4/19/2012,0.32
4/20/2012,0.06
4/21/2012,0
4/22/2012,0
4/23/2012,0
4/24/2012,0
4/25/2012,0.02
4/26/2012,0.33
4/27/2012,0.14
4/28/2012,0.11
4/29/2012,0
4/30/2012,0
5/1/2012,0.03
5/2/2012,0.32
5/3/2012,0
5/4/2012,0
5/5/2012,0
5/6/2012,0.33
5/7/2012,0.34
5/8/2012,0
5/9/2012,0
5/10/2012,0
5/11/2012,0.21
5/12/2012,0.05
5/13/2012,0.09
5/14/2012,0
5/15/2012,0
5/16/2012,0
5/17/2012,0
5/18/2012,0.03
5/19/2012,0.51
5/20/2012,0.01
5/21/2012,0
5/22/2012,0
5/23/2012,0.68
5/24/2012,0.36
5/25/2012,0.04
5/26/2012,0
5/27/2012,0
5/28/2012,0
5/29/2012,0
5/30/2012,0
5/31/2012,0
6/1/2012,0
6/2/2012,0.35
6/3/2012,0
6/4/2012,0
6/5/2012,0
6/6/2012,0
6/7/2012,0
6/8/2012,0
6/9/2012,0
6/10/2012,0
6/11/2012,0
6/12/2012,0
6/13/2012,0
6/14/2012,0.01
6/15/2012,0
6/16/2012,0.01
6/17/2012,0
6/18/2012,0
6/19/2012,0
6/20/2012,0
6/21/2012,0
6/22/2012,0
6/23/2012,0
6/24/2012,0
6/25/2012,0
6/26/2012,0
6/27/2012,0.08
6/28/2012,0.2
6/29/2012,0
6/30/2012,0.05
7/1/2012,0
7/2/2012,0
7/3/2012,0
7/4/2012,0
7/5/2012,0.37
7/6/2012,0.65
7/7/2012,0.34
7/8/2012,0.14
7/9/2012,0
7/10/2012,0.01
7/11/2012,0.11
7/12/2012,0
7/13/2012,0
7/14/2012,0.02
7/15/2012,0
7/16/2012,0.14
7/17/2012,0
7/18/2012,0
7/19/2012,0
7/20/2012,0
7/21/2012,0
7/22/2012,0.13
7/23/2012,0.05
7/24/2012,0.71
7/25/2012,0.35
7/26/2012,0
7/27/2012,0.26
7/28/2012,0.14
7/29/2012,0.12
7/30/2012,0.16
7/31/2012,0
8/1/2012,0.01
8/2/2012,0
8/3/2012,0.02
8/4/2012,0
8/5/2012,0
8/6/2012,0.27
8/7/2012,0
8/8/2012,0
8/9/2012,0
8/10/2012,0
8/11/2012,0.06
8/12/2012,0
8/13/2012,0
8/14/2012,0
8/15/2012,0
8/16/2012,0
8/17/2012,0
8/18/2012,0
8/19/2012,0
8/20/2012,0
8/21/2012,0
8/22/2012,0.13
8/23/2012,0.11
8/24/2012,0.01
