Reading,Receive,Value,Unit,Data Quality
2021-10-03 20:00:44,2021-10-03 20:01:06,57.25,cfs,A
2021-10-03 18:59:32,2021-10-03 18:59:50,56.94,cfs,A
2021-10-03 17:59:25,2021-10-03 17:59:35,56.94,cfs,A
2021-10-03 16:58:18,2021-10-03 16:58:35,57.25,cfs,A
2021-10-03 15:58:01,2021-10-03 15:58:20,57.57,cfs,A
2021-10-03 15:02:24,2021-10-03 15:02:35,57.89,cfs,A
2021-10-03 13:59:29,2021-10-03 13:59:50,57.57,cfs,A
2021-10-03 12:59:21,2021-10-03 12:59:35,57.57,cfs,A
2021-10-03 11:58:40,2021-10-03 11:58:50,57.89,cfs,A
2021-10-03 10:59:33,2021-10-03 10:59:50,57.57,cfs,A
2021-10-03 09:59:50,2021-10-03 10:00:05,57.57,cfs,A
2021-10-03 09:01:27,2021-10-03 09:01:50,57.25,cfs,A
2021-10-03 07:58:25,2021-10-03 07:58:35,57.25,cfs,A
2021-10-03 07:01:08,2021-10-03 07:01:20,58.20,cfs,A
2021-10-03 06:02:26,2021-10-03 06:02:50,56.94,cfs,A
2021-10-03 06:02:25,2021-10-03 06:02:35,56.94,cfs,A
2021-10-03 04:59:22,2021-10-03 04:59:35,57.25,cfs,A
2021-10-03 04:00:14,2021-10-03 04:00:37,57.57,cfs,A
2021-10-03 03:00:34,2021-10-03 03:00:50,57.89,cfs,A
2021-10-03 02:00:30,2021-10-03 02:00:50,57.57,cfs,A
2021-10-03 00:59:57,2021-10-03 01:00:21,57.25,cfs,A
2021-10-03 00:59:56,2021-10-03 01:00:06,57.25,cfs,A
2021-10-03 00:02:31,2021-10-03 00:02:50,56.94,cfs,A
2021-10-02 22:59:27,2021-10-02 22:59:50,57.25,cfs,A
2021-10-02 22:01:06,2021-10-02 22:01:20,57.57,cfs,A
2021-10-02 20:59:17,2021-10-02 20:59:35,57.57,cfs,A
2021-10-02 19:59:23,2021-10-02 19:59:35,57.57,cfs,A
2021-10-02 18:58:13,2021-10-02 18:58:35,58.52,cfs,A
2021-10-02 18:00:03,2021-10-02 18:00:21,58.20,cfs,A
2021-10-02 17:02:22,2021-10-02 17:02:35,58.52,cfs,A
2021-10-02 16:02:25,2021-10-02 16:02:35,57.89,cfs,A
2021-10-02 14:58:45,2021-10-02 14:59:05,57.89,cfs,A
2021-10-02 14:00:34,2021-10-02 14:00:50,58.20,cfs,A
2021-10-02 12:59:26,2021-10-02 12:59:35,59.15,cfs,A
2021-10-02 12:00:55,2021-10-02 12:01:06,58.52,cfs,A
2021-10-02 10:58:05,2021-10-02 10:58:20,57.57,cfs,A
2021-10-02 10:00:38,2021-10-02 10:00:50,58.83,cfs,A
2021-10-02 09:01:48,2021-10-02 09:02:05,57.89,cfs,A
2021-10-02 08:02:45,2021-10-02 08:03:20,57.57,cfs,A
2021-10-02 06:58:43,2021-10-02 06:59:05,57.89,cfs,A
2021-10-02 05:58:25,2021-10-02 05:58:35,57.89,cfs,A
2021-10-02 04:59:18,2021-10-02 04:59:35,58.20,cfs,A
2021-10-02 03:59:52,2021-10-02 04:00:05,57.89,cfs,A
2021-10-02 03:00:16,2021-10-02 03:00:37,57.57,cfs,A
2021-10-02 02:01:52,2021-10-02 02:02:05,58.20,cfs,A
2021-10-02 00:58:35,2021-10-02 00:58:50,57.89,cfs,A
2021-10-01 23:59:21,2021-10-01 23:59:35,58.20,cfs,A
2021-10-01 23:01:05,2021-10-01 23:01:20,58.52,cfs,A
2021-10-01 22:00:54,2021-10-01 22:01:06,58.52,cfs,A
2021-10-01 21:01:14,2021-10-01 21:01:35,58.83,cfs,A
2021-10-01 19:58:46,2021-10-01 19:59:20,59.15,cfs,A
2021-10-01 19:58:45,2021-10-01 19:59:05,59.15,cfs,A
2021-10-01 19:00:46,2021-10-01 19:01:06,58.83,cfs,A
2021-10-01 18:00:30,2021-10-01 18:00:50,59.15,cfs,A
2021-10-01 16:58:04,2021-10-01 16:58:20,59.47,cfs,A
2021-10-01 16:01:07,2021-10-01 16:01:20,59.78,cfs,A
2021-10-01 15:01:57,2021-10-01 15:02:20,59.15,cfs,A
2021-10-01 13:58:53,2021-10-01 13:59:05,63.06,cfs,A
2021-10-01 13:02:15,2021-10-01 13:02:35,61.56,cfs,A
2021-10-01 11:58:40,2021-10-01 11:58:50,66.13,cfs,A
2021-10-01 11:02:34,2021-10-01 11:02:50,70.95,cfs,A
2021-10-01 09:57:59,2021-10-01 09:58:20,76.04,cfs,A
2021-10-01 08:59:15,2021-10-01 08:59:35,79.59,cfs,A
2021-10-01 07:59:51,2021-10-01 08:00:21,83.27,cfs,A
2021-10-01 07:02:25,2021-10-01 07:02:35,85.16,cfs,A
2021-10-01 06:01:58,2021-10-01 06:02:05,85.16,cfs,A
2021-10-01 05:01:46,2021-10-01 05:02:05,77.80,cfs,A
2021-10-01 03:58:01,2021-10-01 03:58:20,89.04,cfs,A
2021-10-01 02:58:02,2021-10-01 02:58:20,83.27,cfs,A
2021-10-01 02:00:57,2021-10-01 02:01:20,81.41,cfs,A
2021-10-01 00:58:45,2021-10-01 00:59:05,85.16,cfs,A
2021-10-01 00:02:43,2021-10-01 00:03:05,85.16,cfs,A
2021-09-30 22:59:47,2021-09-30 23:00:20,87.08,cfs,A
2021-09-30 21:59:05,2021-09-30 21:59:20,87.08,cfs,A
2021-09-30 21:00:25,2021-09-30 21:00:50,85.16,cfs,A
2021-09-30 20:00:18,2021-09-30 20:00:38,83.27,cfs,A
2021-09-30 18:59:17,2021-09-30 18:59:35,83.27,cfs,A
2021-09-30 17:58:01,2021-09-30 17:58:20,89.04,cfs,A
2021-09-30 17:01:02,2021-09-30 17:01:20,91.02,cfs,A
2021-09-30 16:01:09,2021-09-30 16:01:20,93.05,cfs,A
2021-09-30 15:01:47,2021-09-30 15:02:05,93.05,cfs,A
2021-09-30 14:01:42,2021-09-30 14:01:50,85.16,cfs,A
2021-09-30 12:59:38,2021-09-30 12:59:50,91.02,cfs,A
2021-09-30 11:59:56,2021-09-30 12:00:06,87.08,cfs,A
2021-09-30 11:01:09,2021-09-30 11:01:20,87.08,cfs,A
2021-09-30 10:00:21,2021-09-30 10:00:37,91.02,cfs,A
2021-09-30 09:00:18,2021-09-30 09:00:50,93.05,cfs,A
2021-09-30 07:58:41,2021-09-30 07:59:20,91.02,cfs,A
2021-09-30 06:58:19,2021-09-30 06:58:50,87.08,cfs,A
2021-09-30 05:59:02,2021-09-30 05:59:20,95.11,cfs,A
2021-09-30 04:58:52,2021-09-30 04:59:20,95.11,cfs,A
2021-09-30 03:58:00,2021-09-30 03:58:20,103.71,cfs,A
2021-09-30 03:02:11,2021-09-30 03:02:50,91.02,cfs,A
2021-09-30 02:01:32,2021-09-30 02:01:50,87.08,cfs,A
2021-09-30 01:00:21,2021-09-30 01:00:50,91.02,cfs,A
2021-09-29 23:58:00,2021-09-29 23:58:20,91.02,cfs,A
2021-09-29 22:58:57,2021-09-29 22:59:20,91.02,cfs,A
2021-09-29 22:01:27,2021-09-29 22:01:50,91.02,cfs,A
2021-09-29 20:59:49,2021-09-29 21:00:21,93.05,cfs,A
2021-09-29 19:59:51,2021-09-29 20:00:21,91.02,cfs,A
2021-09-29 19:02:01,2021-09-29 19:02:20,83.27,cfs,A
2021-09-29 17:59:22,2021-09-29 17:59:50,87.08,cfs,A
2021-09-29 16:58:07,2021-09-29 16:58:20,91.02,cfs,A
2021-09-29 15:59:25,2021-09-29 15:59:50,89.04,cfs,A
2021-09-29 14:58:54,2021-09-29 14:59:20,81.41,cfs,A
